car_id,name,km_driven,transmission,owner,mileage,engine,max_power,torque
CarID14,Maruti Swift 1.3 VXi,80000,Manual,Second Owner,,,,
CarID15,Maruti Wagon R LXI Minor,90000,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm
CarID16,Mahindra KUV 100 mFALCON G80 K8 5str,40000,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm
CarID17,Maruti Ertiga SHVS VDI,70000,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID18,Hyundai i20 1.4 CRDi Asta,53000,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm
CarID19,Maruti Alto LX,80000,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
CarID20,Hyundai i20 2015-2017 Asta 1.4 CRDi,100000,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm
CarID21,Mahindra Verito 1.5 D4 BSIII,100000,Manual,Second Owner,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm
CarID22,Honda WR-V i-DTEC VX,50000,Manual,First Owner,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
CarID23,Maruti Swift Dzire ZDI,40000,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID24,Maruti SX4 ZDI,72000,Manual,First Owner,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm
CarID25,Tata Tigor 2017-2020 XZ,35000,Manual,First Owner,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm
CarID26,Maruti Baleno Delta 1.2,45000,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm
CarID27,Maruti Alto 800 LXI,28000,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm
CarID28,Chevrolet Enjoy TCDi LTZ 7 Seater,70000,Manual,First Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm
CarID29,Maruti Wagon R LXI Minor,120000,Manual,First Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm
CarID30,Maruti Omni E MPI STD BS IV,25000,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm
CarID31,Maruti Vitara Brezza LDi Option,70000,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID32,Fiat Palio 1.2 ELX,50000,Manual,Second Owner,,,,
CarID33,Maruti Omni 8 Seater BSIV,35000,Manual,Second Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm
CarID34,Hyundai i20 1.2 Asta Dual Tone,2388,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm
CarID35,Maruti Vitara Brezza LDi,16200,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID36,Maruti Alto 800 CNG LXI Optional,10000,Manual,Second Owner,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm
CarID37,Maruti Alto K10 VXI Airbag,15000,Manual,First Owner,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
CarID38,Hyundai Verna VTVT 1.6 SX Option,5000,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm
CarID39,Datsun GO D,42000,Manual,First Owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm
CarID40,Tata Safari DICOR 2.2 LX 4x2,60000,Manual,Second Owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm
CarID41,Maruti 800 Std,76000,Manual,First Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
CarID42,Jeep Compass 1.4 Limited Plus BSIV,5000,Automatic,First Owner,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm
CarID43,Honda City i VTEC VX,28900,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm
CarID44,Honda City V MT,86300,Manual,First Owner,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm
CarID45,Maruti Swift Dzire VXi AT,23300,Automatic,First Owner,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm
CarID46,Maruti Vitara Brezza VDi,32600,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID47,Maruti Alto K10 VXI,10300,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm
CarID48,Toyota Fortuner 4x4 MT,77000,Manual,First Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm
CarID49,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,99000,Manual,First Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm
CarID50,Mercedes-Benz B Class B180,27800,Automatic,Second Owner,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm
CarID51,Honda Amaze S Diesel,49800,Manual,First Owner,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm
CarID52,Mitsubishi Pajero Sport 4X4,151000,Manual,First Owner,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm
CarID53,Honda City i DTEC S,54700,Manual,First Owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
CarID54,Maruti Ciaz Zeta,64000,Manual,First Owner,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm
CarID55,Honda Jazz VX Diesel,63000,Manual,First Owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
CarID56,Toyota Innova Crysta 2.8 ZX AT BSIV,127700,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm
CarID57,Toyota Innova 2.5 G (Diesel) 7 Seater,99000,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm
CarID58,Audi A6 2.0 TDI Technology,33900,Automatic,Second Owner,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm
CarID59,Toyota Corolla Altis 1.8 VL CVT,25000,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm
CarID60,Audi A6 2.0 TDI  Design Edition,50000,Automatic,First Owner,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm
CarID61,Mercedes-Benz New C-Class 220 CDI AT,59000,Automatic,First Owner,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm
CarID62,Tata Manza ELAN Quadrajet BS IV,120000,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm
CarID63,Hyundai i10 Magna,110000,Manual,Third Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm
CarID64,Hyundai i20 Asta 1.4 CRDi,60000,Manual,First Owner,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm
CarID65,Maruti Swift Dzire ZDI,147000,Manual,Second Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID66,Ford Figo 1.2P Titanium MT,25000,Manual,Third Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm
CarID67,Maruti Baleno Delta 1.2,30000,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm
CarID68,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,40000,Manual,First Owner,22.0 kmpl,1498 CC,108.495 bhp,250Nm@ 1500-3000rpm
CarID69,Honda City i DTEC VX,135000,Manual,First Owner,25.1 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm
CarID70,Maruti Wagon R AMT VXI,30000,Automatic,First Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm
CarID71,Volkswagen Ameo 1.5 TDI Comfortline,80000,Manual,First Owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm
CarID72,Maruti Vitara Brezza VDi,70000,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID73,Maruti Vitara Brezza ZDi Plus AMT,9850,Automatic,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID74,Hyundai i10 Magna,60000,Manual,Second Owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm
CarID75,Maruti Swift VDI Deca,70000,Manual,First Owner,25.2 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID76,Toyota Fortuner 4x4 MT,78000,Manual,Second Owner,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm
CarID77,Maruti Swift Star VDI,120000,Manual,Second Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID78,Maruti Ertiga ZXI,120000,Manual,Second Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm
CarID79,Tata Indica DLS,70000,Manual,First Owner,,,,
CarID80,Volkswagen Vento Diesel Highline,170000,Manual,First Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm
CarID81,Toyota Innova 2.5 VX (Diesel) 8 Seater,140000,Manual,First Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm
CarID82,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,90000,Manual,First Owner,22.77 kmpl,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm
CarID83,BMW X1 sDrive20i xLine,30000,Automatic,Second Owner,15.71 kmpl,1998 CC,189 bhp,280Nm@ 1350-4600rpm
CarID84,Maruti Celerio ZXI MT BSIV,10000,Manual,First Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
CarID85,Datsun GO A Petrol,49000,Manual,First Owner,19.02 kmpl,1198 CC,67.05 bhp,104Nm@ 4000rpm
CarID86,Maruti Alto 800 VXI BSIV,32000,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm
CarID87,Maruti Alto 800 LXI BSIV,38000,Manual,First Owner,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm
CarID88,Maruti Swift VDI BSIV W ABS,78000,Manual,First Owner,,,,
CarID89,Hyundai i10 Era 1.1,28000,Manual,First Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm
CarID90,Maruti Omni 8 Seater BSIV,32000,Manual,First Owner,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm
CarID91,Maruti Wagon R LXI LPG BSIV,44000,Manual,First Owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm
CarID92,Volkswagen Polo 1.2 MPI Comfortline,42000,Manual,First Owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm
CarID93,Hyundai i10 Magna 1.1L,45000,Manual,Second Owner,19.81 kmpl,1086 CC,68.05 bhp,99.04Nm@ 4500rpm
CarID94,Volkswagen Vento Petrol Highline,12000,Manual,Second Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm
CarID95,Maruti Zen Estilo LXI BSIII,55500,Manual,First Owner,18.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
CarID96,Hyundai i20 Asta Optional with Sunroof 1.2,61500,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm
CarID97,Maruti Swift Dzire LDI,150000,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID98,Hyundai Xcent 1.2 Kappa SX Option AT,72000,Automatic,First Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm
CarID99,Maruti Alto LX BSIII,68000,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
CarID100,Hyundai i20 1.4 Asta Option,110000,Manual,First Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm
CarID101,Maruti Wagon R VXI,77000,Manual,Second Owner,21.79 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm
CarID102,Tata Manza Aura (ABS) Quadrajet,100000,Manual,Second Owner,18.8 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm
CarID103,Maruti Swift VXI,10000,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
CarID104,Maruti Eeco 7 Seater Standard BSIV,100000,Manual,Third Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm
CarID105,Maruti Baleno Zeta 1.2,35000,Manual,First Owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm
CarID106,Mahindra Scorpio VLX AT AIRBAG BSIV,70000,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm
CarID107,Ford Freestyle Titanium Petrol BSIV,5000,Manual,Second Owner,19.0 kmpl,1194 CC,94.68 bhp,120Nm@ 4250rpm
CarID108,Hyundai Verna VTVT 1.6 SX,37800,Manual,First Owner,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm
CarID109,Volkswagen Passat 1.8 TSI MT,114000,Manual,First Owner,14.3 kmpl,1798 CC,160 bhp,250Nm@ 1500~4500rpm
CarID110,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,48000,Manual,First Owner,15.8 kmpl,1172 CC,65 bhp,96 Nm at 3000 rpm
CarID111,Mahindra XUV500 W11 Option AWD,32000,Manual,First Owner,15.1 kmpl,2179 CC,155 bhp,360Nm@ 1750-2800rpm
CarID112,Tata Indigo CS LS (TDI) BS-III,100000,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm
CarID113,Hyundai Verna 1.6 SX,150000,Manual,Second Owner,22.32 kmpl,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm
CarID114,Hyundai i20 Magna 1.4 CRDi (Diesel),69000,Manual,First Owner,21.9 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm
CarID115,Toyota Corolla Altis G,100000,Manual,Second Owner,14.53 kmpl,1798 CC,138.1 bhp,173Nm@ 4000rpm
CarID116,Maruti Celerio VXI,13000,Manual,First Owner,21.63 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
CarID117,Maruti Vitara Brezza ZDi Plus Dual Tone,60000,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID118,Maruti Swift Dzire VXI,40000,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm
CarID119,Maruti Wagon R VXI BS IV,35000,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
CarID120,Maruti Swift VDI BSIV,120000,Manual,Second Owner,,,,
CarID121,Nissan Terrano XL 85 PS,70000,Manual,Third Owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm
CarID122,Hyundai Creta 1.6 CRDi SX,50000,Manual,First Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm
CarID123,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,76139,Manual,First Owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm
CarID124,Maruti Swift Dzire VDi,175000,Manual,Fourth & Above Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm
CarID125,Renault KWID 1.0,25000,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm
CarID126,Maruti Celerio VXI,40000,Manual,Second Owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm
CarID127,Maruti Alto LXi,65000,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm
CarID128,Maruti Ertiga VDI,90000,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm
CarID129,Hyundai Santro Xing GLS,80000,Manual,Second Owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm
CarID130,Maruti Ertiga VDI,110000,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm
CarID131,Honda Amaze S i-VTEC,1303,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm
CarID132,Audi Q5 35TDI Premium Plus,31800,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm
CarID133,Lexus ES 300h,20000,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm
CarID134,Jaguar XF 2.0 Diesel Portfolio,45000,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm
CarID135,Jeep Wrangler 2016-2019 3.6 4X4,17000,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm
CarID136,Land Rover Discovery Sport TD4 SE,21000,Automatic,First Owner,12.83 kmpl,1999 CC,148.31 bhp,382nm@ 1750-2250rpm
CarID137,Mercedes-Benz S-Class S 350 CDI,37000,Automatic,First Owner,13.5 kmpl,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm
CarID138,BMW 5 Series 520d Sport Line,29500,Automatic,First Owner,22.48 kmpl,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm
CarID139,BMW X1 sDrive 20D xLine,27000,Automatic,First Owner,,,,
CarID140,BMW X4 M Sport X xDrive20d,7500,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
CarID141,Skoda Superb LK 1.8 TSI AT,50000,Automatic,First Owner,14.67 kmpl,1798 CC,177.46 bhp,250@ 1250-5000rpm
CarID142,Mercedes-Benz E-Class E250 Edition E,35000,Automatic,First Owner,15.0 kmpl,2143 CC,204 bhp,500Nm@ 1600-1800rpm
CarID143,MG Hector Sharp AT BSIV,19000,Automatic,First Owner,13.96 kmpl,1451 CC,141 bhp,250Nm@ 1600-3600rpm
CarID144,Honda City i-VTEC CVT VX,41000,Automatic,First Owner,18.0 kmpl,1497 CC,117.6 bhp,145Nm@ 4600rpm
CarID145,Toyota Corolla Altis 1.8 G CVT,39000,Automatic,First Owner,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm
CarID146,Volvo XC40 D4 R-Design,22000,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm
CarID147,Audi Q7 35 TDI Quattro Premium,53000,Automatic,First Owner,12.07 kmpl,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm
CarID148,Maruti Ciaz ZDi,40000,Manual,First Owner,26.21 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm
CarID149,Mercedes-Benz S-Class S 350 CDI,47000,Automatic,First Owner,13.5 kmpl,2987 CC,282 bhp,490Nm@ 1600rpm
CarID150,BMW 5 Series 523i,72200,Automatic,Second Owner,10.8 kmpl,2497 CC,150 bhp,250 Nm at 2750 rpm
CarID151,Hyundai Elantra S,49900,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm
CarID152,Jaguar XE 2016-2019 2.0L Diesel Prestige,9000,Automatic,First Owner,13.6 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm
CarID153,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,11000,Manual,First Owner,17.0 kmpl,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm
CarID154,Volkswagen Vento Petrol Highline,49000,Manual,First Owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm
CarID155,Hyundai Elantra SX,95000,Manual,First Owner,16.3 kmpl,1797 CC,147.5 bhp,177.5Nm@ 4700rpm
CarID156,Skoda Rapid 1.6 MPI AT Elegance,11000,Automatic,First Owner,14.3 kmpl,1598 CC,103.5 bhp,153Nm@ 3800rpm
CarID157,Mercedes-Benz CLA 200 CGI Sport,18000,Automatic,First Owner,15.04 kmpl,1991 CC,183 bhp,300Nm@ 1200-4000rpm
CarID158,Maruti Ertiga ZXI,46100,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm
CarID159,Mercedes-Benz New C-Class C 200 AVANTGARDE,16000,Automatic,First Owner,14.74 kmpl,1991 CC,181.04 bhp,300Nm@ 1200-1400rpm
CarID160,Honda City V AT,18000,Automatic,First Owner,15.6 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm
CarID161,Toyota Glanza V CVT,9654,Automatic,First Owner,19.56 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
CarID162,Maruti Alto K10 VXI,11000,Manual,First Owner,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm
CarID163,Maruti Swift VXI,24300,Manual,First Owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
CarID164,Toyota Innova Crysta 2.8 ZX AT BSIV,42163,Automatic,Second Owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm
CarID165,Tata Nexon 1.5 Revotorq XZA Plus DualTone,8000,Automatic,First Owner,21.5 kmpl,1497 CC,108.5 bhp,260Nm@ 1500-2750rpm
CarID166,BMW 3 Series 320d Luxury Line,30000,Automatic,First Owner,22.69 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
CarID167,Toyota Camry 2.5 Hybrid,41000,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm
CarID168,BMW 5 Series 520d Luxury Line,12000,Automatic,First Owner,18.12 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm
CarID169,Toyota Camry W4 (AT),71000,Automatic,First Owner,12.1 kmpl,2362 CC,164.7 bhp,224Nm@ 4000rpm
CarID170,Maruti Ertiga BSIV ZXI Plus,20000,Manual,First Owner,17.5 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm
CarID171,Volvo XC90 T8 Excellence BSIV,30000,Automatic,First Owner,42.0 kmpl,1969 CC,400 bhp,640Nm@ 1740rpm
CarID172,Volkswagen Vento Diesel Highline,100000,Manual,Second Owner,20.54 kmpl,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm
CarID173,Ford Figo Aspire 1.2 Ti-VCT Trend,9500,Manual,First Owner,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm
CarID174,Ford Figo Diesel LXI,120000,Manual,First Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm
CarID175,Maruti Swift VXI Optional,36600,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm
CarID176,Maruti Wagon R AMT VXI,50000,Automatic,Second Owner,20.51 kmpl,998 CC,67 bhp,90Nm@ 3500rpm
CarID177,Hyundai i20 Magna 1.2,14000,Manual,Second Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm
CarID178,Maruti 800 Std,40000,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
CarID179,Maruti Ritz VDi,120000,Manual,First Owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm
CarID180,Hyundai Grand i10 Magna,70000,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm
CarID181,Volkswagen Ameo 1.0 MPI Trendline,13000,Manual,First Owner,19.44 kmpl,999 CC,75 bhp,95Nm@ 3000-4300rpm
CarID182,Hyundai Grand i10 Sportz,60000,Manual,Second Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm
CarID183,Maruti Swift Dzire VXI,35000,Manual,First Owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm
CarID184,Hyundai Xcent 1.2 Kappa S,44000,Manual,Second Owner,19.1 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm
CarID185,Honda City 1.5 EXI,120000,Manual,Second Owner,13.0 kmpl,1493 CC,100 bhp,13.1kgm@ 4600rpm
CarID186,Toyota Corolla Altis Diesel D4DG,60000,Manual,First Owner,21.43 kmpl,1364 CC,87.2 bhp,205Nm@ 1800-2800rpm
CarID187,Daewoo Matiz SD,60000,Manual,First Owner,18.5 kmpl,796 CC,53 bhp,71Nm@ 3500rpm
CarID188,Toyota Fortuner 4x2 Manual,30000,Manual,Second Owner,13.0 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm
CarID189,Mahindra KUV 100 mFALCON G80 K8,15000,Manual,Second Owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm
CarID190,Tata Zest Quadrajet 1.3 75PS XM,90000,Manual,First Owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm
CarID191,Honda City 1.5 S MT,47000,Manual,Second Owner,17.0 kmpl,1497 CC,118 bhp,146Nm at 4800 rpm
CarID192,Maruti Zen LXI,90000,Manual,First Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm
CarID193,Maruti Wagon R VXI BS IV with ABS,120600,Manual,Second Owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm
CarID194,Hyundai Verna Transform SX VTVT,100000,Manual,Third Owner,16.2 kmpl,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM
CarID195,Maruti Swift Dzire VXI,60000,Manual,Second Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm
CarID196,Hyundai Getz GLS,86000,Manual,First Owner,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm
